facility_id,t_hatch_open_manual,t_hatch_closed_manual,t_hatch_open_drone,t_hatch_closed_drone,t_hatch_open_work_order,t_hatch_closed_work_order,t_hatch_open_forms,t_hatch_closed_forms
10085460,2022-07-05 15:14:00,2022-08-25 21:14:00,2022-08-19 13:49:00,null,null,2022-08-25 12:00:00,null,null
10085941,2021-10-19 22:42:00,2021-10-28 14:57:00,2021-10-20 18:27:00,null,null,null,null,null
10085510,2022-02-14 16:43:21,2022-05-13 15:28:13,null,null,null,2020-05-16 12:00:00,null,null
10086098,2022-07-24 21:12:00,2022-09-21 16:57:54,2022-08-19 13:11:00,null,null,2022-08-25 12:00:00,null,null
10085544,2022-10-13 20:40:25,2022-11-27 16:55:24,null,null,null,2022-11-07 12:00:00,null,null
